block_datetime,slot,block_number,block_hash,value,base_fee_per_gas,gas_limit,gas_used,num_tx,builder_label,builder_pubkey,relay,bid_timestamp_ms,slot_time_ms,proposer_pubkey,proposer_mev_recipient,optimistic_submission,builder_fee_recipient,block_timestamp,extra_data,payload_delivered
2024-01-30 09:26:47,8315232,19118422,0xcd3fa30a0bd1f1f1b34052684babf276abb0487c05ca43a3ef4b6e9387dafd34,,23344407227.0,30000000.0,7958039.0,0.0,geth,0xa391b0b98d6cfbb1c5cfc6ecc87d590e3bf7aef4,,,,0xa391b0b98d6cfbb1c5cfc6ecc87d590e3bf7aef4,0xa391b0b98d6cfbb1c5cfc6ecc87d590e3bf7aef4,False,0xa391b0b98d6cfbb1c5cfc6ecc87d590e3bf7aef4,1706606807.0,0xda83010d01846765746888676f312e32312e318777696e646f7773,0.0
2024-01-30 07:11:35,8314556,19117750,0x2765539a78728e833ef5b8c6da42588e4db9c5479822256539260f9e643bce64,,27427352514.0,30000000.0,11980695.0,0.0,geth,0x32adbce70a16ed4aa10b270d632d3f0689e430af,,,,0x32adbce70a16ed4aa10b270d632d3f0689e430af,0x32adbce70a16ed4aa10b270d632d3f0689e430af,False,0x32adbce70a16ed4aa10b270d632d3f0689e430af,1706598695.0,0xd883010d08846765746888676f312e32312e35856c696e7578,0.0
2024-01-30 06:53:35,8314466,19117660,0xb447ad7c25c069200cd79d1e27ee6a12bdb46eb16cc6acd14a894bd5a6c1d250,,33788297712.0,30000000.0,17047938.0,0.0,,0x1fd03b97cf5ab1203b31bc2b0a3965985195590b,,,,0x1fd03b97cf5ab1203b31bc2b0a3965985195590b,0x1fd03b97cf5ab1203b31bc2b0a3965985195590b,False,0x1fd03b97cf5ab1203b31bc2b0a3965985195590b,1706597615.0,0x,0.0
2024-01-30 05:08:35,8313941,19117135,0x1216015c4c0ab7473d03009256017d8f82b4cf3aac50e58bdcd71c26efef560c,,10819888207.0,30000000.0,26888161.0,0.0,geth,0x746710bb916fb73cbab034287b21e1e9d8a8d127,,,,0x746710bb916fb73cbab034287b21e1e9d8a8d127,0x746710bb916fb73cbab034287b21e1e9d8a8d127,False,0x746710bb916fb73cbab034287b21e1e9d8a8d127,1706591315.0,0xd883010d0a846765746888676f312e32312e35856c696e7578,0.0
2024-01-30 04:56:47,8313882,19117077,0xdbb712015e323eb1e5a8ec35c3aa2f3bff729f5b353b458dc05e1ffe51c1e4c0,,11026777346.0,30000000.0,10082160.0,0.0,,0xd2946c032404f21339a605402b122d1828029fde,,,,0xd2946c032404f21339a605402b122d1828029fde,0xd2946c032404f21339a605402b122d1828029fde,False,0xd2946c032404f21339a605402b122d1828029fde,1706590607.0,0x,0.0
2024-01-30 04:28:23,8313740,19116936,0x59119d6029f09e396826d9ae95e87121c8e663262dda73ada9a86809152bb525,,11424731961.0,30000000.0,12580356.0,0.0,geth,0x57d6936f85cf5dbec95638bfba29f187d839fa14,,,,0x57d6936f85cf5dbec95638bfba29f187d839fa14,0x57d6936f85cf5dbec95638bfba29f187d839fa14,False,0x57d6936f85cf5dbec95638bfba29f187d839fa14,1706588903.0,0xd883010d05846765746888676f312e32312e34856c696e7578,0.0
2024-01-30 03:50:11,8313549,19116745,0x1e3976b68b2da3b133235c9dd7e30edfcf955bc27a61bfd05ba9bdb5867fb1fd,,13188799721.0,30000000.0,9058883.0,0.0,,0xd63f2d3bb83e71ce40a1464ac6bc5eb29a91e918,,,,0xd63f2d3bb83e71ce40a1464ac6bc5eb29a91e918,0xd63f2d3bb83e71ce40a1464ac6bc5eb29a91e918,False,0xd63f2d3bb83e71ce40a1464ac6bc5eb29a91e918,1706586611.0,0x,0.0
2024-01-30 03:39:23,8313495,19116692,0xb1cefc0ec0c4deb029c053a6e2370f4708b5d78c54ba465a6d60b8bc60be8cbf,,12560863293.0,30000000.0,15882821.0,0.0,Nethermind,0x504f08fa1d907507bc4c9b5f06e5740ddb7e2aeb,,,,0x504f08fa1d907507bc4c9b5f06e5740ddb7e2aeb,0x504f08fa1d907507bc4c9b5f06e5740ddb7e2aeb,False,0x504f08fa1d907507bc4c9b5f06e5740ddb7e2aeb,1706585963.0,0x4e65746865726d696e64,0.0
2024-01-30 03:07:11,8313334,19116534,0x17eebd751aa94aabc5f0916b5ded3fde1f1b383872ae2ee3f7e4d9ecc2aa82d9,,12932788058.0,30000000.0,11862894.0,0.0,Nethermind,0x7be6acd0d7b2feb07f4d1c5ed852160cf0801f42,,,,0x7be6acd0d7b2feb07f4d1c5ed852160cf0801f42,0x7be6acd0d7b2feb07f4d1c5ed852160cf0801f42,False,0x7be6acd0d7b2feb07f4d1c5ed852160cf0801f42,1706584031.0,0x4e65746865726d696e64,0.0
2024-01-30 02:45:59,8313228,19116430,0x6572a9ef61219c823963abb13bd63f17d5b7bd6dae36f4cfb226b43e8cdc6fd5,,17133012761.0,30000000.0,8630262.0,0.0,geth,0xc469d42c84b5f3c7197280412a73fe95ac811fca,,,,0xc469d42c84b5f3c7197280412a73fe95ac811fca,0xc469d42c84b5f3c7197280412a73fe95ac811fca,False,0xc469d42c84b5f3c7197280412a73fe95ac811fca,1706582759.0,0xd883010d01846765746888676f312e32312e31856c696e7578,0.0
